Week,Team#,Match1,Match2,Match3
1, 1    , T7&T8 , 1&2 , 47&48  
1, 2    , 9&10 , 11&12 , 49&50  
1, 3    , T1&T2 , T5&T6 , 1&2  
1, 4    , 49&50 , 13&14 , T1&T2  
1, 5    , 15&16 , 5&6 , 13&14  
1, 6    , 21&22 , 15&16 , T5&T6  
1, 7    , 1&2 , 5&6 , T3&T4  
1, 8    , 23&24 , 25&26 , 7&8  
1, 9    , 5&6 , 1&2 , 11&12  
1, 10   , T7&T8 , 45&46 , 21&22  
1, 11   , 27&28 , 15&16 , 7&8  
1, 12   , T1&T2 , 49&50 , 15&16  
1, 13   , 9&10 , 23&24 , 11&12  
1, 14   , 47&48 , 25&26 , 45&46  
1, 15   , 11&12 , 45&46 , 27&28  
1, 16   , 23&24 , 21&22 , 15&16  
1, 17   , T5&T6 , T1&T2 , 21&22  
1, 18   , T5&T6 , 47&48 , 1&2  
1, 19   , 11&12 , 27&28 , T1&T2  
1, 20   , 45&46 , T7&T8 , 13&14  
1, 21   , 15&16 , T5&T6 , T3&T4  
1, 22   , 5&6 , 49&50 , T5&T6  
1, 23   , 45&46 , T3&T4 , 3&4  
1, 24   , 21&22 , 9&10 , 49&50  
1, 25   , 7&8 , 47&48 , T7&T8  
1, 26   , 13&14 , 21&22 , 5&6  
1, 27   , 27&28 , 23&24 , T7&T8  
1, 28   , 3&4 , T1&T2 , 5&6  
1, 29   , 25&26 , 27&28 , 23&24  
1, 30   , 1&2 , 3&4 , 23&24  
1, 31   , 49&50 , T7&T8 , 25&26  
1, 32   , 25&26 , 9&10 , 27&28  
1, 33   , 13&14 , T3&T4 , 47&48  
1, 34   , T3&T4 , 13&14 , 25&26  
1, 35   , 47&48 , 7&8 , 3&4  
1, 36   , 7&8 , 3&4 , 9&10  
1, 37   , T3&T4 , 7&8 , 45&46  
1, 38   , 3&4 , 11&12 , 9&10  
2, 1    , 13&14 , 9&10 , 25&26  
2, 2    , T3&T4 , 23&24 , 9&10  
2, 3    , 13&14 , 23&24 , 1&2  
2, 4    , 1&2 , 27&28 , 21&22  
2, 5    , T1&T2 , 5&6 , 27&28  
2, 6    , 49&50 , T7&T8 , T1&T2  
2, 7    , 23&24 , 21&22 , 15&16  
2, 8    , 45&46 , 27&28 , 23&24  
2, 9    , 27&28 , 21&22 , T3&T4  
2, 10   , 25&26 , 47&48 , 49&50  
2, 11   , T3&T4 , 45&46 , 47&48  
2, 12   , 23&24 , 3&4 , 45&46  
2, 13   , 49&50 , T5&T6 , 3&4  
2, 14   , 15&16 , 25&26 , 13&14  
2, 15   , T1&T2 , 1&2 , 21&22  
2, 16   , 7&8 , 13&14 , 25&26  
2, 17   , 47&48 , 15&16 , 7&8  
2, 18   , T5&T6 , 13&14 , 9&10  
2, 19   , 47&48 , 7&8 , T3&T4  
2, 20   , 15&16 , 47&48 , 7&8  
2, 21   , 9&10 , 15&16 , 11&12  
2, 22   , 5&6 , T3&T4 , T5&T6  
2, 23   , 45&46 , T1&T2 , 3&4  
2, 24   , T5&T6 , 7&8 , T7&T8  
2, 25   , 25&26 , T1&T2 , 11&12  
2, 26   , 5&6 , 49&50 , 47&48  
2, 27   , 21&22 , 49&50 , 5&6  
2, 28   , 11&12 , T3&T4 , T7&T8  
2, 29   , 7&8 , 1&2 , 15&16  
2, 30   , 1&2 , T5&T6 , T1&T2  
2, 31   , 3&4 , 5&6 , 13&14  
2, 32   , 27&28 , 45&46 , T5&T6  
2, 33   , T7&T8 , 11&12 , 27&28  
2, 34   , 9&10 , 11&12 , 5&6  
2, 35   , T7&T8 , 3&4 , 23&24  
2, 36   , 11&12 , 25&26 , 45&46  
2, 37   , 3&4 , 9&10 , 49&50  
2, 38   , 21&22 , T7&T8 , 1&2  
3, 1    , T7&T8 , 25&26 , 5&6  
3, 2    , 21&22 , 3&4 , 25&26  
3, 3    , 3&4 , T5&T6 , 23&24  
3, 4    , 47&48 , 21&22 , T1&T2  
3, 5    , 3&4 , 23&24 , 13&14  
3, 6    , T1&T2 , 9&10 , 45&46  
3, 7    , 1&2 , T3&T4 , 11&12  
3, 8    , 45&46 , 15&16 , 49&50  
3, 9    , 9&10 , T1&T2 , T7&T8  
3, 10   , 25&26 , 7&8 , 47&48  
3, 11   , T5&T6 , 13&14 , 27&28  
3, 12   , 15&16 , 25&26 , T1&T2  
3, 13   , 49&50 , 15&16 , T5&T6  
3, 14   , 9&10 , 5&6 , 45&46  
3, 15   , 15&16 , 11&12 , T7&T8  
3, 16   , 5&6 , 27&28 , 21&22  
3, 17   , 27&28 , 49&50 , 7&8  
3, 18   , 23&24 , 13&14 , 3&4  
3, 19   , T7&T8 , T5&T6 , T3&T4  
3, 20   , 13&14 , 27&28 , 1&2  
3, 21   , 23&24 , 47&48 , 15&16  
3, 22   , 1&2 , 3&4 , 23&24  
3, 23   , 47&48 , T1&T2 , 13&14  
3, 24   , 7&8 , 23&24 , 1&2  
3, 25   , 49&50 , 1&2 , 5&6  
3, 26   , 7&8 , 5&6 , 25&26  
3, 27   , 11&12 , T3&T4 , 21&22  
3, 28   , T3&T4 , 7&8 , T5&T6  
3, 29   , 27&28 , 21&22 , 49&50  
3, 30   , T3&T4 , 11&12 , 7&8  
3, 31   , T1&T2 , 1&2 , 47&48  
3, 32   , 11&12 , 49&50 , 9&10  
3, 33   , 13&14 , 45&46 , 3&4  
3, 34   , T5&T6 , 9&10 , 11&12  
3, 35   , 5&6 , T7&T8 , 9&10  
3, 36   , 21&22 , 45&46 , T3&T4  
3, 37   , 45&46 , 47&48 , 27&28  
3, 38   , 25&26 , T7&T8 , 15&16  
4, 1    , 3&4 , 21&22 , 9&10  
4, 2    , 23&24 , 27&28 , 15&16  
4, 3    , 7&8 , 23&24 , 11&12  
4, 4    , 9&10 , 49&50 , T7&T8  
4, 5    , T5&T6 , 3&4 , 27&28  
4, 6    , 27&28 , 5&6 , T7&T8  
4, 7    , 1&2 , T3&T4 , 21&22  
4, 8    , 47&48 , 11&12 , T1&T2  
4, 9    , 49&50 , T5&T6 , T3&T4  
4, 10   , 47&48 , 15&16 , 23&24  
4, 11   , 15&16 , T3&T4 , 3&4  
4, 12   , 5&6 , 45&46 , 23&24  
4, 13   , T7&T8 , T1&T2 , 27&28  
4, 14   , 23&24 , T7&T8 , 13&14  
4, 15   , 27&28 , 11&12 , 25&26  
4, 16   , 11&12 , 25&26 , 7&8  
4, 17   , 1&2 , 27&28 , T3&T4  
4, 18   , T5&T6 , 13&14 , 45&46  
4, 19   , 13&14 , 45&46 , 1&2  
4, 20   , 49&50 , 9&10 , 21&22  
4, 21   , T3&T4 , 9&10 , 7&8  
4, 22   , 21&22 , T7&T8 , T5&T6  
4, 23   , 21&22 , 1&2 , 47&48  
4, 24   , T1&T2 , 25&26 , 3&4  
4, 25   , 9&10 , 47&48 , 5&6  
4, 26   , 7&8 , 15&16 , 9&10  
4, 27   , 45&46 , 1&2 , 49&50  
4, 28   , 45&46 , 3&4 , T1&T2  
4, 29   , 5&6 , T1&T2 , 13&14  
4, 30   , 25&26 , 7&8 , 5&6  
4, 31   , T1&T2 , T5&T6 , 15&16  
4, 32   , T7&T8 , 13&14 , 11&12  
4, 33   , 11&12 , 7&8 , T5&T6  
4, 34   , 3&4 , 47&48 , 1&2  
4, 35   , 15&16 , 5&6 , 49&50  
4, 36   , T3&T4 , 23&24 , 25&26  
4, 37   , 25&26 , 49&50 , 45&46  
4, 38   , 13&14 , 21&22 , 47&48  
5, 1    , 15&16 , T1&T2 , 21&22  
5, 2    , 11&12 , 27&28 , 45&46  
5, 3    , T1&T2 , 13&14 , 3&4  
5, 4    , 1&2 , 49&50 , 7&8  
5, 5    , 15&16 , T7&T8 , 5&6  
5, 6    , 27&28 , T3&T4 , 23&24  
5, 7    , 45&46 , 7&8 , T7&T8  
5, 8    , T3&T4 , T1&T2 , 15&16  
5, 9    , 11&12 , 47&48 , 23&24  
5, 10   , 13&14 , 49&50 , 47&48  
5, 11   , 3&4 , 15&16 , T3&T4  
5, 12   , T5&T6 , 25&26 , 1&2  
5, 13   , 23&24 , 1&2 , 47&48  
5, 14   , 21&22 , T5&T6 , 9&10  
5, 15   , T7&T8 , 3&4 , 27&28  
5, 16   , 23&24 , T3&T4 , 13&14  
5, 17   , 25&26 , T5&T6 , 27&28  
5, 18   , 49&50 , 3&4 , 21&22  
5, 19   , 7&8 , 45&46 , 25&26  
5, 20   , 47&48 , 21&22 , 15&16  
5, 21   , 5&6 , 9&10 , 45&46  
5, 22   , 7&8 , 11&12 , T1&T2  
5, 23   , 3&4 , 13&14 , 49&50  
5, 24   , 21&22 , 5&6 , 3&4  
5, 25   , 27&28 , 45&46 , T7&T8  
5, 26   , 5&6 , T7&T8 , 49&50  
5, 27   , 1&2 , 27&28 , 25&26  
5, 28   , 45&46 , 9&10 , 1&2  
5, 29   , T1&T2 , 23&24 , T5&T6  
5, 30   , 47&48 , 25&26 , T3&T4  
5, 31   , 25&26 , 23&24 , 11&12  
5, 32   , T5&T6 , 7&8 , 9&10  
5, 33   , T7&T8 , 1&2 , 11&12  
5, 34   , 49&50 , 47&48 , 13&14  
5, 35   , 13&14 , 5&6 , 7&8  
5, 36   , T3&T4 , 15&16 , T5&T6  
5, 37   , 9&10 , 11&12 , 5&6  
5, 38   , 9&10 , 21&22 , T1&T2  
6, 1    , 13&14 , 23&24 , 27&28  
6, 2    , 49&50 , 27&28 , 11&12  
6, 3    , 23&24 , 49&50 , T5&T6  
6, 4    , 21&22 , 5&6 , 13&14  
6, 5    , 3&4 , T7&T8 , 11&12  
6, 6    , 7&8 , 25&26 , 1&2  
6, 7    , 47&48 , 15&16 , 3&4  
6, 8    , 15&16 , 13&14 , 21&22  
6, 9    , 25&26 , 49&50 , T1&T2  
6, 10   , T1&T2 , 25&26 , 7&8  
6, 11   , 45&46 , 7&8 , 15&16  
6, 12   , 7&8 , 47&48 , 15&16  
6, 13   , 5&6 , 45&46 , 25&26  
6, 14   , 1&2 , T7&T8 , 3&4  
6, 15   , 47&48 , T3&T4 , 49&50  
6, 16   , 23&24 , 15&16 , 5&6  
6, 17   , 11&12 , 5&6 , 1&2  
6, 18   , 21&22 , 47&48 , T1&T2  
6, 19   , 27&28 , 3&4 , 45&46  
6, 20   , T5&T6 , 21&22 , 47&48  
6, 21   , 5&6 , 3&4 , 27&28  
6, 22   , 3&4 , 11&12 , 47&48  
6, 23   , T7&T8 , 9&10 , 5&6  
6, 24   , 9&10 , T3&T4 , T7&T8  
6, 25   , 25&26 , 7&8 , 21&22  
6, 26   , 27&28 , T1&T2 , 25&26  
6, 27   , 1&2 , 13&14 , T7&T8  
6, 28   , 45&46 , 27&28 , 13&14  
6, 29   , T7&T8 , T5&T6 , 23&24  
6, 30   , 15&16 , 23&24 , T3&T4  
6, 31   , 13&14 , 45&46 , 49&50  
6, 32   , T3&T4 , 1&2 , 7&8  
6, 33   , 49&50 , 1&2 , 45&46  
6, 34   , 11&12 , T1&T2 , T5&T6  
6, 35   , T5&T6 , 11&12 , 9&10  
6, 36   , T1&T2 , 21&22 , 9&10  
6, 37   , T3&T4 , 9&10 , 23&24  
6, 38   , 9&10 , T5&T6 , T3&T4  
7, 1    , 25&26 , 47&48 , 5&6  
7, 2    , 5&6 , T7&T8 , 21&22  
7, 3    , 15&16 , T3&T4 , 11&12  
7, 4    , 47&48 , T1&T2 , 9&10  
7, 5    , 47&48 , 3&4 , 1&2  
7, 6    , 13&14 , T7&T8 , 45&46  
7, 7    , 11&12 , 13&14 , 7&8  
7, 8    , 15&16 , 3&4 , 7&8  
7, 9    , 45&46 , 1&2 , 47&48  
7, 10   , 45&46 , 49&50 , 27&28  
7, 11   , T7&T8 , 11&12 , 3&4  
7, 12   , 21&22 , 5&6 , 13&14  
7, 13   , T1&T2 , 45&46 , 5&6  
7, 14   , 7&8 , 23&24 , T1&T2  
7, 15   , 25&26 , 27&28 , T3&T4  
7, 16   , T7&T8 , 1&2 , T5&T6  
7, 17   , 21&22 , T5&T6 , 23&24  
7, 18   , 49&50 , 7&8 , 27&28  
7, 19   , 27&28 , 25&26 , T1&T2  
7, 20   , 27&28 , 9&10 , T7&T8  
7, 21   , 23&24 , 11&12 , 49&50  
7, 22   , T3&T4 , 49&50 , 15&16  
7, 23   , 49&50 , 23&24 , 21&22  
7, 24   , T5&T6 , T1&T2 , 25&26  
7, 25   , 1&2 , 9&10 , T5&T6  
7, 26   , 13&14 , 15&16 , T3&T4  
7, 27   , 9&10 , 21&22 , 11&12  
7, 28   , 3&4 , 7&8 , T7&T8  
7, 29   , T5&T6 , 47&48 , 15&16  
7, 30   , 7&8 , 21&22 , 49&50  
7, 31   , 23&24 , T3&T4 , 3&4  
7, 32   , 3&4 , 25&26 , 45&46  
7, 33   , 9&10 , 5&6 , 23&24  
7, 34   , 5&6 , 27&28 , 13&14  
7, 35   , 11&12 , 45&46 , 1&2  
7, 36   , T3&T4 , 15&16 , 9&10  
7, 37   , 1&2 , T5&T6 , 25&26  
7, 38   , T1&T2 , 13&14 , 47&48  
