Week,Team#,Match1,Match2,Match3
1, 1    , 11&12 , T1&T2 , 1&2  
1, 2    , 3&4 , T3&T4 , 13&14  
1, 3    , T3&T4 , T5&T6 , T7&T8  
1, 4    , T7&T8 , 9&10 , 23&24  
1, 5    , 5&6 , 13&14 , 3&4  
1, 6    , 27&28 , 23&24 , 13&14  
1, 7    , 15&16 , 3&4 , 5&6  
1, 8    , 45&46 , 13&14 , 15&16  
1, 9    , 13&14 , 45&46 , 7&8  
1, 10   , 11&12 , 27&28 , 9&10  
1, 11   , 7&8 , 15&16 , 45&46  
1, 12   , 9&10 , 27&28 , 11&12  
1, 13   , 45&46 , T1&T2 , 21&22  
1, 14   , T1&T2 , 9&10 , 27&28  
1, 15   , 5&6 , 21&22 , T1&T2  
1, 16   , 27&28 , 45&46 , 1&2  
1, 17   , 25&26 , 11&12 , 15&16  
1, 18   , T3&T4 , 7&8 , 25&26  
1, 19   , 9&10 , 11&12 , 21&22  
1, 20   , T5&T6 , 5&6 , 25&26  
1, 21   , 7&8 , T7&T8 , 11&12  
1, 22   , T5&T6 , 1&2 , T7&T8  
1, 23   , 1&2 , T3&T4 , 7&8  
1, 24   , 23&24 , 7&8 , T5&T6  
1, 25   , 23&24 , T5&T6 , 5&6  
1, 26   , 21&22 , 15&16 , 9&10  
1, 27   , T7&T8 , 3&4 , T3&T4  
1, 28   , 1&2 , 23&24 , 3&4  
1, 29   , 15&16 , 25&26 , T5&T6  
1, 30   , 25&26 , T7&T8 , T1&T2  
1, 31   , 3&4 , 21&22 , 27&28  
1, 32   , 13&14 , 25&26 , 45&46  
1, 33   , T1&T2 , 1&2 , T3&T4  
1, 34   , 21&22 , 5&6 , 23&24  
2, 1    , T3&T4 , 7&8 , T1&T2  
2, 2    , T7&T8 , 1&2 , 25&26  
2, 3    , 23&24 , 45&46 , 1&2  
2, 4    , 1&2 , 3&4 , T5&T6  
2, 5    , 25&26 , 21&22 , 45&46  
2, 6    , 9&10 , 21&22 , T7&T8  
2, 7    , 45&46 , 1&2 , 5&6  
2, 8    , 5&6 , T5&T6 , 7&8  
2, 9    , T7&T8 , T5&T6 , 13&14  
2, 10   , 7&8 , 5&6 , 21&22  
2, 11   , 11&12 , T1&T2 , 15&16  
2, 12   , 13&14 , 15&16 , 25&26  
2, 13   , T1&T2 , 25&26 , T3&T4  
2, 14   , 27&28 , 11&12 , 9&10  
2, 15   , 45&46 , T7&T8 , T5&T6  
2, 16   , 15&16 , T3&T4 , 27&28  
2, 17   , 25&26 , 45&46 , 13&14  
2, 18   , 11&12 , 23&24 , T7&T8  
2, 19   , 1&2 , 7&8 , 11&12  
2, 20   , T5&T6 , 3&4 , 23&24  
2, 21   , 7&8 , 27&28 , 45&46  
2, 22   , 5&6 , 15&16 , T3&T4  
2, 23   , 9&10 , 13&14 , T1&T2  
2, 24   , 15&16 , 9&10 , 3&4  
2, 25   , T1&T2 , T3&T4 , 23&24  
2, 26   , 3&4 , 23&24 , 27&28  
2, 27   , 3&4 , T1&T2 , 7&8  
2, 28   , 21&22 , 11&12 , 1&2  
2, 29   , T5&T6 , 27&28 , 9&10  
2, 30   , 27&28 , 5&6 , 15&16  
2, 31   , 13&14 , 25&26 , 5&6  
2, 32   , T3&T4 , T7&T8 , 3&4  
2, 33   , 21&22 , 13&14 , 11&12  
2, 34   , 23&24 , 9&10 , 21&22  
3, 1    , 13&14 , 7&8 , 11&12  
3, 2    , 21&22 , 9&10 , 3&4  
3, 3    , 7&8 , 25&26 , 13&14  
3, 4    , 13&14 , T3&T4 , T5&T6  
3, 5    , T5&T6 , 9&10 , 21&22  
3, 6    , 5&6 , 23&24 , 7&8  
3, 7    , 27&28 , T5&T6 , T3&T4  
3, 8    , 15&16 , T7&T8 , 3&4  
3, 9    , 45&46 , 1&2 , 23&24  
3, 10   , T5&T6 , 25&26 , T7&T8  
3, 11   , 3&4 , 11&12 , 25&26  
3, 12   , 25&26 , 45&46 , 1&2  
3, 13   , 25&26 , T1&T2 , T7&T8  
3, 14   , 45&46 , 5&6 , 7&8  
3, 15   , 7&8 , 11&12 , 27&28  
3, 16   , 23&24 , 13&14 , 45&46  
3, 17   , T1&T2 , 15&16 , 9&10  
3, 18   , 9&10 , 7&8 , 5&6  
3, 19   , 23&24 , 3&4 , 27&28  
3, 20   , 27&28 , 1&2 , 11&12  
3, 21   , T1&T2 , 3&4 , 45&46  
3, 22   , 11&12 , 15&16 , T1&T2  
3, 23   , 11&12 , 5&6 , 13&14  
3, 24   , 5&6 , T7&T8 , 15&16  
3, 25   , 1&2 , 23&24 , T5&T6  
3, 26   , 21&22 , T5&T6 , 15&16  
3, 27   , T7&T8 , 45&46 , 21&22  
3, 28   , 15&16 , T3&T4 , 23&24  
3, 29   , T7&T8 , 21&22 , 1&2  
3, 30   , T3&T4 , 13&14 , 5&6  
3, 31   , 3&4 , 27&28 , T1&T2  
3, 32   , 9&10 , 27&28 , T3&T4  
3, 33   , T3&T4 , T1&T2 , 9&10  
3, 34   , 1&2 , 21&22 , 25&26  
4, 1    , 27&28 , T3&T4 , 15&16  
4, 2    , T3&T4 , 1&2 , 5&6  
4, 3    , T5&T6 , 27&28 , 7&8  
4, 4    , 9&10 , 21&22 , T3&T4  
4, 5    , T1&T2 , 13&14 , 11&12  
4, 6    , 27&28 , 15&16 , 25&26  
4, 7    , 3&4 , 7&8 , 9&10  
4, 8    , 3&4 , 25&26 , 45&46  
4, 9    , 45&46 , 9&10 , 27&28  
4, 10   , 21&22 , 15&16 , 13&14  
4, 11   , T3&T4 , 7&8 , 11&12  
4, 12   , T1&T2 , 45&46 , 7&8  
4, 13   , 23&24 , 27&28 , T5&T6  
4, 14   , 13&14 , T1&T2 , 23&24  
4, 15   , 13&14 , 11&12 , T7&T8  
4, 16   , T5&T6 , 11&12 , 3&4  
4, 17   , 7&8 , 5&6 , T7&T8  
4, 18   , 23&24 , 21&22 , 9&10  
4, 19   , T7&T8 , 23&24 , T1&T2  
4, 20   , 5&6 , 25&26 , T5&T6  
4, 21   , 9&10 , 3&4 , 5&6  
4, 22   , 1&2 , T3&T4 , 21&22  
4, 23   , 21&22 , 45&46 , T3&T4  
4, 24   , 1&2 , 5&6 , 23&24  
4, 25   , 25&26 , 3&4 , T1&T2  
4, 26   , 15&16 , T7&T8 , 25&26  
4, 27   , 5&6 , 1&2 , 15&16  
4, 28   , 25&26 , T5&T6 , 21&22  
4, 29   , T7&T8 , 9&10 , 45&46  
4, 30   , 11&12 , T5&T6 , 27&28  
4, 31   , 7&8 , 13&14 , 3&4  
4, 32   , 15&16 , 23&24 , 13&14  
4, 33   , 45&46 , T7&T8 , 1&2  
4, 34   , 11&12 , T1&T2 , 1&2  
5, 1    , 21&22 , 1&2 , 15&16  
5, 2    , 7&8 , 25&26 , 5&6  
5, 3    , 27&28 , 21&22 , T5&T6  
5, 4    , 3&4 , 25&26 , 11&12  
5, 5    , 15&16 , 13&14 , T1&T2  
5, 6    , 27&28 , T1&T2 , 45&46  
5, 7    , 15&16 , T3&T4 , 13&14  
5, 8    , 13&14 , 21&22 , T3&T4  
5, 9    , 3&4 , 23&24 , 27&28  
5, 10   , 1&2 , 7&8 , 11&12  
5, 11   , 11&12 , 7&8 , 23&24  
5, 12   , T7&T8 , 1&2 , 27&28  
5, 13   , 5&6 , 13&14 , 25&26  
5, 14   , 21&22 , 3&4 , T3&T4  
5, 15   , 23&24 , T7&T8 , 15&16  
5, 16   , 7&8 , 5&6 , 13&14  
5, 17   , T3&T4 , 3&4 , 7&8  
5, 18   , T3&T4 , 11&12 , 21&22  
5, 19   , 11&12 , T5&T6 , T1&T2  
5, 20   , 25&26 , 9&10 , 5&6  
5, 21   , 13&14 , 27&28 , T5&T6  
5, 22   , 45&46 , 27&28 , 3&4  
5, 23   , T5&T6 , T3&T4 , 25&26  
5, 24   , 5&6 , 9&10 , T7&T8  
5, 25   , 45&46 , T7&T8 , 9&10  
5, 26   , 23&24 , 15&16 , 1&2  
5, 27   , T1&T2 , T5&T6 , 9&10  
5, 28   , T7&T8 , 45&46 , 1&2  
5, 29   , 9&10 , 11&12 , 23&24  
