Team#,Match1,Match2,Match3
1, 1    , 31&32 , 21&22 , 37&38 
 1, 2    , 5&6 , 19&20 , 41&42 
 1, 3    , 21&22 , 1&2 , 21&22 
 1, 4    , 11&12 , 31&32 , 15&16 
 1, 5    , 17&18 , 29&30 , 43&44 
 1, 6    , 9&10 , 35&36 , 13&14 
 1, 7    , 37&38 , 43&44 , 41&42 
 1, 8    , 25&26 , 17&18 , 29&30 
 1, 9    , 7&8 , 21&22 , 9&10 
 1, 10   , 1&2 , 19&20 , 3&4 
 1, 11   , 7&8 , 31&32 , 13&14 
 1, 12   , 15&16 , 41&42 , 23&24 
 1, 13   , 29&30 , 7&8 , 27&28 
 1, 14   , 13&14 , 39&40 , 29&30 
 1, 15   , 35&36 , 11&12 , 1&2 
 1, 16   , 29&30 , 3&4 , 11&12 
 1, 17   , 33&34 , 39&40 , 15&16 
 1, 18   , 25&26 , 41&42 , 27&28 
 1, 19   , 33&34 , 15&16 , 11&12 
 1, 20   , 27&28 , 5&6 , 21&22 
 1, 21   , 23&24 , 3&4 , 35&36 
 1, 22   , 31&32 , 23&24 , 1&2 
 1, 23   , 19&20 , 43&44 , 3&4 
 1, 24   , 11&12 , 13&14 , 33&34 
 1, 25   , 3&4 , 9&10 , 33&34 
 1, 26   , 39&40 , 23&24 , 37&38 
 1, 27   , 27&28 , 15&16 , 25&26 
 1, 28   , 37&38 , 1&2 , 17&18 
 1, 29   , 5&6 , 11&12 , 19&20 
 1, 30   , 43&44 , 35&36 , 17&18 
 1, 31   , 1&2 , 25&26 , 19&20 
 1, 32   , 41&42 , 5&6 , 9&10 
 1, 33   , 21&22 , 33&34 , 7&8 
 1, 34   , 39&40 , 9&10 , 31&32 
 1, 35   , 41&42 , 17&18 , 23&24 
 1, 36   , 15&16 , 33&34 , 5&6 
 1, 37   , 3&4 , 27&28 , 39&40 
 1, 38   , 9&10 , 7&8 , 35&36 
 1, 39   , 23&24 , 13&14 , 43&44 
 1, 40   , 35&36 , 27&28 , 5&6 
 1, 41   , 43&44 , 25&26 , 7&8 
 1, 42   , 13&14 , 37&38 , 25&26 
 1, 43   , 19&20 , 29&30 , 39&40 
 1, 44   , 17&18 , 37&38 , 31&32 
 2, 1    , 3&4 , 9&10 , 33&34 
 2, 2    , 27&28 , 3&4 , 1&2 
 2, 3    , 17&18 , 23&24 , 15&16 
 2, 4    , 41&42 , 27&28 , 29&30 
 2, 5    , 35&36 , 21&22 , 37&38 
 2, 6    , 19&20 , 15&16 , 5&6 
 2, 7    , 29&30 , 15&16 , 21&22 
 2, 8    , 3&4 , 43&44 , 9&10 
 2, 9    , 35&36 , 17&18 , 41&42 
 2, 10   , 29&30 , 39&40 , 23&24 
 2, 11   , 37&38 , 33&34 , 43&44 
 2, 12   , 43&44 , 13&14 , 29&30 
 2, 13   , 33&34 , 3&4 , 27&28 
 2, 14   , 7&8 , 11&12 , 43&44 
 2, 15   , 15&16 , 1&2 , 41&42 
 2, 16   , 21&22 , 41&42 , 25&26 
 2, 17   , 43&44 , 31&32 , 27&28 
 2, 18   , 17&18 , 37&38 , 1&2 
 2, 19   , 7&8 , 9&10 , 11&12 
 2, 20   , 31&32 , 1&2 , 9&10 
 2, 21   , 23&24 , 7&8 , 37&38 
 2, 22   , 39&40 , 5&6 , 25&26 
 2, 23   , 31&32 , 43&44 , 15&16 
 2, 24   , 27&28 , 35&36 , 17&18 
 2, 25   , 13&14 , 7&8 , 5&6 
 2, 26   , 5&6 , 25&26 , 7&8 
 2, 27   , 25&26 , 21&22 , 23&24 
 2, 28   , 5&6 , 41&42 , 33&34 
 2, 29   , 11&12 , 23&24 , 21&22 
 2, 30   , 9&10 , 31&32 , 13&14 
 2, 31   , 41&42 , 13&14 , 35&36 
 2, 32   , 23&24 , 19&20 , 35&36 
 2, 33   , 21&22 , 27&28 , 11&12 
 2, 34   , 9&10 , 5&6 , 3&4 
 2, 35   , 33&34 , 35&36 , 19&20 
 2, 36   , 37&38 , 11&12 , 39&40 
 2, 37   , 1&2 , 33&34 , 19&20 
 2, 38   , 1&2 , 29&30 , 31&32 
 2, 39   , 11&12 , 17&18 , 7&8 
 2, 40   , 19&20 , 39&40 , 3&4 
 2, 41   , 13&14 , 29&30 , 13&14 
 2, 42   , 39&40 , 19&20 , 31&32 
 2, 43   , 25&26 , 37&38 , 17&18 
 2, 44   , 15&16 , 25&26 , 39&40 
 3, 1    , 1&2 , 39&40 , 41&42 
 3, 2    , 5&6 , 37&38 , 21&22 
 3, 3    , 31&32 , 25&26 , 19&20 
 3, 4    , 25&26 , 41&42 , 37&38 
 3, 5    , 13&14 , 41&42 , 5&6 
 3, 6    , 9&10 , 23&24 , 25&26 
 3, 7    , 43&44 , 3&4 , 17&18 
 3, 8    , 27&28 , 15&16 , 43&44 
 3, 9    , 39&40 , 31&32 , 3&4 
 3, 10   , 39&40 , 33&34 , 19&20 
 3, 11   , 19&20 , 37&38 , 15&16 
 3, 12   , 17&18 , 25&26 , 35&36 
 3, 13   , 37&38 , 27&28 , 33&34 
 3, 14   , 25&26 , 43&44 , 17&18 
 3, 15   , 17&18 , 29&30 , 27&28 
 3, 16   , 23&24 , 19&20 , 13&14 
 3, 17   , 3&4 , 15&16 , 29&30 
 3, 18   , 43&44 , 1&2 , 21&22 
 3, 19   , 11&12 , 7&8 , 27&28 
 3, 20   , 11&12 , 9&10 , 31&32 
 3, 21   , 5&6 , 33&34 , 3&4 
 3, 22   , 41&42 , 3&4 , 7&8 
 3, 23   , 29&30 , 19&20 , 11&12 
 3, 24   , 29&30 , 35&36 , 25&26 
 3, 25   , 7&8 , 11&12 , 29&30 
 3, 26   , 7&8 , 5&6 , 9&10 
 3, 27   , 31&32 , 13&14 , 39&40 
 3, 28   , 19&20 , 27&28 , 39&40 
 3, 29   , 35&36 , 43&44 , 7&8 
 3, 30   , 15&16 , 5&6 , 37&38 
 3, 31   , 21&22 , 29&30 , 23&24 
 3, 32   , 1&2 , 17&18 , 5&6 
 3, 33   , 37&38 , 13&14 , 1&2 
 3, 34   , 9&10 , 39&40 , 31&32 
 3, 35   , 35&36 , 1&2 , 23&24 
 3, 36   , 33&34 , 9&10 , 11&12 
 3, 37   , 33&34 , 17&18 , 43&44 
 3, 38   , 23&24 , 7&8 , 9&10 
 3, 39   , 3&4 , 23&24 , 41&42 
 3, 40   , 13&14 , 11&12 , 35&36 
 3, 41   , 41&42 , 21&22 , 15&16 
 3, 42   , 27&28 , 21&22 , 13&14 
 3, 43   , 15&16 , 31&32 , 33&34 
 3, 44   , 21&22 , 35&36 , 1&2 
 4, 1    , 33&34 , 5&6 , 9&10 
 4, 2    , 17&18 , 39&40 , 3&4 
 4, 3    , 7&8 , 3&4 , 35&36 
 4, 4    , 7&8 , 29&30 , 25&26 
 4, 5    , 35&36 , 13&14 , 17&18 
 4, 6    , 31&32 , 15&16 , 17&18 
 4, 7    , 39&40 , 41&42 , 7&8 
 4, 8    , 21&22 , 23&24 , 13&14 
 4, 9    , 9&10 , 17&18 , 35&36 
 4, 10   , 41&42 , 37&38 , 19&20 
 4, 11   , 41&42 , 25&26 , 33&34 
 4, 12   , 31&32 , 33&34 , 27&28 
 4, 13   , 5&6 , 35&36 , 23&24 
 4, 14   , 1&2 , 7&8 , 19&20 
 4, 15   , 27&28 , 25&26 , 41&42 
 4, 16   , 27&28 , 43&44 , 39&40 
 4, 17   , 17&18 , 21&22 , 31&32 
 4, 18   , 37&38 , 1&2 , 43&44 
 4, 19   , 29&30 , 19&20 , 27&28 
 4, 20   , 25&26 , 43&44 , 11&12 
 4, 21   , 29&30 , 11&12 , 7&8 
 4, 22   , 15&16 , 31&32 , 1&2 
 4, 23   , 35&36 , 1&2 , 5&6 
 4, 24   , 3&4 , 5&6 , 15&16 
 4, 25   , 43&44 , 39&40 , 13&14 
 4, 26   , 11&12 , 13&14 , 25&26 
 4, 27   , 1&2 , 27&28 , 9&10 
 4, 28   , 19&20 , 33&34 , 29&30 
 4, 29   , 9&10 , 19&20 , 39&40 
 4, 30   , 13&14 , 9&10 , 23&24 
 4, 31   , 39&40 , 17&18 , 5&6 
 4, 32   , 23&24 , 7&8 , 3&4 
 4, 33   , 21&22 , 31&32 , 43&44 
 4, 34   , 37&38 , 11&12 , 41&42 
 4, 35   , 43&44 , 15&16 , 1&2 
 4, 36   , 3&4 , 27&28 , 31&32 
 4, 37   , 5&6 , 3&4 , 37&38 
 4, 38   , 13&14 , 21&22 , 33&34 
 4, 39   , 15&16 , 37&38 , 29&30 
 4, 40   , 33&34 , 9&10 , 11&12 
 4, 41   , 23&24 , 23&24 , 21&22 
 4, 42   , 19&20 , 35&36 , 15&16 
 4, 43   , 11&12 , 41&42 , 21&22 
 4, 44   , 25&26 , 29&30 , 37&38 
 5, 1    , 39&40 , 25&26 , 7&8 
 5, 2    , 35&36 , 27&28 , 31&32 
 5, 3    , 3&4 , 31&32 , 29&30 
 5, 4    , 13&14 , 39&40 , 23&24 
 5, 5    , 7&8 , 15&16 , 5&6 
 5, 6    , 1&2 , 23&24 , 19&20 
 5, 7    , 27&28 , 41&42 , 15&16 
 5, 8    , 13&14 , 37&38 , 3&4 
 5, 9    , 37&38 , 9&10 , 25&26 
 5, 10   , 41&42 , 17&18 , 43&44 
 5, 11   , 33&34 , 31&32 , 21&22 
 5, 12   , 35&36 , 21&22 , 37&38 
 5, 13   , 5&6 , 35&36 , 23&24 
 5, 14   , 31&32 , 13&14 , 43&44 
 5, 15   , 31&32 , 37&38 , 9&10 
 5, 16   , 9&10 , 33&34 , 1&2 
 5, 17   , 21&22 , 5&6 , 35&36 
 5, 18   , 19&20 , 11&12 , 27&28 
 5, 19   , 33&34 , 9&10 , 17&18 
 5, 20   , 23&24 , 25&26 , 5&6 
 5, 21   , 15&16 , 19&20 , 11&12 
 5, 22   , 21&22 , 1&2 , 25&26 
 5, 23   , 39&40 , 43&44 , 17&18 
 5, 24   , 11&12 , 33&34 , 41&42 
 5, 25   , 19&20 , 43&44 , 7&8 
 5, 26   , 25&26 , 19&20 , 3&4 
 5, 27   , 17&18 , 35&36 , 41&42 
 5, 28   , 29&30 , 23&24 , 13&14 
 5, 29   , 25&26 , 3&4 , 13&14 
 5, 30   , 43&44 , 3&4 , 37&38 
 5, 31   , 23&24 , 1&2 , 29&30 
 5, 32   , 11&12 , 7&8 , 33&34 
 5, 33   , 15&16 , 41&42 , 31&32 
 5, 34   , 29&30 , 15&16 , 21&22 
 5, 35   , 41&42 , 27&28 , 15&16 
 5, 36   , 5&6 , 7&8 , 1&2 
 5, 37   , 43&44 , 5&6 , 27&28 
 5, 38   , 3&4 , 39&40 , 39&40 
 5, 39   , 17&18 , 13&14 , 9&10 
 5, 40   , 9&10 , 29&30 , 35&36 
 5, 41   , 27&28 , 29&30 , 11&12 
 5, 42   , 7&8 , 11&12 , 19&20 
 5, 43   , 1&2 , 17&18 , 39&40 
 5, 44   , 37&38 , 21&22 , 33&34 
 6, 1    , 19&20 , 33&34 , 23&24 
 6, 2    , 25&26 , 13&14 , 1&2 
 6, 3    , 1&2 , 25&26 , 29&30 
