Week,Team#,Match1,Match2,Match3
1,1,55&56,13&14,21&22
1,2,25&26,21&22,T7&T8
1,3,45&46,1&2,49&50
1,4,3&4,53&54,11&12
1,5,1&2,T1&T2,5&6
1,6,T5&T6,49&50,55&56
1,7,9&10,T3&T4,27&28
1,8,51&52,T5&T6,T3&T4
1,9,T7&T8,15&16,47&48
1,10,T7&T8,45&46,53&54
1,11,27&28,23&24,T5&T6
1,12,9&10,55&56,T1&T2
1,13,25&26,3&4,25&26
1,14,T3&T4,1&2,9&10
1,15,11&12,23&24,21&22
1,16,7&8,21&22,3&4
1,17,53&54,49&50,15&16
1,18,21&22,9&10,5&6
1,19,47&48,11&12,T7&T8
1,20,45&46,3&4,11&12
1,21,15&16,47&48,7&8
1,22,27&28,T1&T2,T1&T2
1,23,15&16,T3&T4,9&10
1,24,1&2,11&12,T5&T6
1,25,21&22,27&28,51&52
1,26,49&50,T5&T6,25&26
1,27,T1&T2,T7&T8,13&14
1,28,3&4,47&48,23&24
1,29,23&24,7&8,13&14
1,30,23&24,5&6,47&48
1,31,55&56,9&10,53&54
1,32,51&52,45&46,7&8
1,33,T5&T6,25&26,15&16
1,34,T1&T2,27&28,55&56
1,35,5&6,T7&T8,51&52
1,36,5&6,13&14,T3&T4
1,37,53&54,25&26,45&46
1,38,7&8,55&56,1&2
1,39,11&12,5&6,27&28
1,40,47&48,51&52,45&46
1,41,13&14,51&52,3&4
1,42,49&50,7&8,1&2
1,43,13&14,15&16,49&50
1,44,T3&T4,53&54,23&24
2,1,7&8,T3&T4,23&24
2,2,5&6,27&28,23&24
2,3,11&12,1&2,5&6
2,4,T3&T4,15&16,49&50
2,5,25&26,3&4,T3&T4
2,6,3&4,55&56,T7&T8
2,7,T7&T8,47&48,5&6
2,8,47&48,23&24,13&14
2,9,21&22,55&56,T1&T2
2,10,25&26,7&8,T5&T6
2,11,T5&T6,3&4,25&26
2,12,7&8,11&12,T7&T8
2,13,27&28,13&14,7&8
2,14,T7&T8,7&8,T3&T4
2,15,53&54,51&52,3&4
2,16,3&4,15&16,7&8
2,17,55&56,T1&T2,53&54
2,18,55&56,9&10,47&48
2,19,51&52,23&24,55&56
2,20,15&16,45&46,1&2
2,21,53&54,T7&T8,T1&T2
2,22,45&46,5&6,49&50
2,23,T1&T2,21&22,13&14
2,24,15&16,T5&T6,45&46
2,25,T5&T6,T3&T4,1&2
2,26,T3&T4,51&52,55&56
2,27,13&14,27&28,15&16
2,28,23&24,11&12,27&28
2,29,T1&T2,49&50,21&22
2,30,47&48,T5&T6,53&54
2,31,5&6,49&50,27&28
2,32,1&2,25&26,9&10
2,33,1&2,T7&T8,45&46
2,34,11&12,5&6,9&10
2,35,49&50,47&48,21&22
2,36,9&10,1&2,15&16
2,37,23&24,45&46,3&4
2,38,49&50,9&10,11&12
2,39,21&22,T1&T2,T5&T6
2,40,27&28,21&22,25&26
2,41,9&10,53&54,11&12
2,42,45&46,53&54,47&48
2,43,51&52,13&14,51&52
2,44,13&14,25&26,51&52
3,1,25&26,53&54,49&50
3,2,53&54,T7&T8,55&56
3,3,49&50,23&24,13&14
3,4,T1&T2,51&52,25&26
3,5,51&52,45&46,47&48
3,6,11&12,45&46,49&50
3,7,3&4,21&22,T5&T6
3,8,T3&T4,1&2,5&6
3,9,27&28,25&26,T5&T6
3,10,55&56,7&8,25&26
3,11,55&56,25&26,53&54
3,12,45&46,9&10,55&56
3,13,T1&T2,T7&T8,21&22
3,14,T5&T6,13&14,9&10
3,15,47&48,5&6,21&22
3,16,47&48,1&2,23&24
3,17,9&10,55&56,51&52
3,18,7&8,47&48,53&54
3,19,23&24,27&28,13&14
3,20,3&4,11&12,51&52
3,21,13&14,27&28,T7&T8
3,22,1&2,T1&T2,3&4
3,23,49&50,53&54,T1&T2
3,24,5&6,47&48,9&10
3,25,T5&T6,T3&T4,47&48
3,26,T7&T8,23&24,T1&T2
3,27,T7&T8,5&6,T3&T4
3,28,15&16,T1&T2,5&6
3,29,7&8,11&12,27&28
3,30,15&16,3&4,7&8
3,31,27&28,51&52,1&2
3,32,23&24,49&50,27&28
3,33,45&46,21&22,11&12
3,34,5&6,13&14,45&46
3,35,53&54,15&16,7&8
3,36,9&10,T3&T4,11&12
3,37,1&2,T5&T6,T7&T8
3,38,T3&T4,3&4,15&16
3,39,25&26,T5&T6,23&24
3,40,11&12,9&10,15&16
3,41,13&14,15&16,1&2
3,42,21&22,55&56,T3&T4
3,43,21&22,49&50,45&46
3,44,51&52,7&8,3&4
4,1,55&56,21&22,15&16
4,2,15&16,T3&T4,27&28
4,3,53&54,T1&T2,51&52
4,4,49&50,27&28,53&54
4,5,15&16,7&8,T7&T8
4,6,T5&T6,49&50,13&14
4,7,T3&T4,9&10,11&12
4,8,21&22,9&10,53&54
4,9,T7&T8,T3&T4,9&10
4,10,55&56,T7&T8,1&2
4,11,T3&T4,53&54,21&22
4,12,53&54,55&56,47&48
4,13,T1&T2,15&16,23&24
4,14,47&48,7&8,13&14
4,15,T5&T6,45&46,47&48
4,16,3&4,53&54,1&2
4,17,47&48,1&2,23&24
4,18,27&28,49&50,T1&T2
4,19,25&26,51&52,15&16
4,20,27&28,3&4,7&8
4,21,5&6,25&26,55&56
4,22,23&24,5&6,11&12
4,23,3&4,47&48,25&26
4,24,13&14,25&26,5&6
4,25,7&8,T5&T6,55&56
4,26,11&12,15&16,3&4
4,27,9&10,5&6,45&46
4,28,9&10,3&4,49&50
4,29,45&46,51&52,3&4
4,30,23&24,T5&T6,9&10
4,31,11&12,55&56,25&26
4,32,51&52,23&24,5&6
4,33,21&22,T1&T2,45&46
4,34,T1&T2,1&2,T3&T4
4,35,51&52,T7&T8,49&50
4,36,T7&T8,45&46,27&28
4,37,7&8,23&24,T5&T6
4,38,5&6,27&28,T7&T8
4,39,1&2,13&14,21&22
4,40,13&14,11&12,7&8
4,41,45&46,47&48,T1&T2
4,42,1&2,11&12,T3&T4
4,43,49&50,13&14,T5&T6
4,44,25&26,21&22,51&52
5,1,21&22,T7&T8,T1&T2
5,2,9&10,13&14,T5&T6
5,3,T7&T8,T5&T6,51&52
5,4,11&12,21&22,1&2
5,5,21&22,1&2,3&4
5,6,23&24,45&46,1&2
5,7,T1&T2,45&46,15&16
5,8,1&2,13&14,27&28
5,9,3&4,49&50,45&46
5,10,53&54,5&6,47&48
5,11,45&46,27&28,9&10
5,12,T3&T4,T1&T2,13&14
5,13,T7&T8,15&16,25&26
5,14,3&4,47&48,9&10
5,15,T1&T2,5&6,7&8
5,16,13&14,55&56,21&22
5,17,25&26,49&50,T7&T8
5,18,47&48,3&4,T1&T2
5,19,53&54,21&22,T7&T8
5,20,49&50,11&12,T3&T4
5,21,5&6,27&28,15&16
5,22,1&2,23&24,45&46
5,23,9&10,1&2,11&12
5,24,7&8,T1&T2,11&12
5,25,25&26,T5&T6,47&48
5,26,13&14,51&52,53&54
5,27,55&56,7&8,49&50
5,28,T5&T6,3&4,21&22
5,29,15&16,T7&T8,23&24
5,30,51&52,53&54,49&50
5,31,7&8,T3&T4,3&4
5,32,51&52,23&24,27&28
5,33,45&46,47&48,25&26
5,34,49&50,9&10,23&24
5,35,47&48,9&10,7&8
5,36,27&28,11&12,55&56
5,37,T3&T4,53&54,5&6
5,38,23&24,T3&T4,53&54
5,39,15&16,51&52,5&6
5,40,11&12,7&8,55&56
5,41,55&56,25&26,13&14
5,42,5&6,55&56,51&52
5,43,T5&T6,25&26,T3&T4
5,44,27&28,15&16,T5&T6
6,1,27&28,55&56,T5&T6
6,2,7&8,47&48,45&46
6,3,25&26,7&8,27&28
6,4,T5&T6,13&14,T7&T8
6,5,25&26,T3&T4,21&22
6,6,T7&T8,49&50,15&16
6,7,7&8,45&46,23&24
6,8,T7&T8,27&28,9&10
6,9,13&14,53&54,1&2
6,10,21&22,49&50,51&52
6,11,1&2,23&24,27&28
6,12,T3&T4,23&24,9&10
6,13,45&46,11&12,T5&T6
6,14,51&52,9&10,5&6
6,15,9&10,9&10,7&8
6,16,53&54,45&46,1&2
6,17,49&50,51&52,45&46
6,18,15&16,3&4,55&56
6,19,13&14,T1&T2,47&48
6,20,51&52,15&16,21&22
6,21,47&48,3&4,49&50
6,22,55&56,1&2,13&14
6,23,5&6,T5&T6,T1&T2
6,24,11&12,47&48,53&54
6,25,T5&T6,53&54,3&4
6,26,3&4,55&56,49&50
6,27,21&22,7&8,25&26
6,28,27&28,T7&T8,23&24
6,29,9&10,51&52,15&16
6,30,53&54,T5&T6,51&52
6,31,T1&T2,5&6,11&12
6,32,1&2,11&12,25&26
6,33,3&4,27&28,3&4
6,34,47&48,21&22,T7&T8
6,35,T1&T2,1&2,T3&T4
6,36,23&24,5&6,13&14
6,37,5&6,T1&T2,55&56
6,38,11&12,25&26,47&48
6,39,15&16,T3&T4,5&6
6,40,55&56,T7&T8,7&8
6,41,45&46,15&16,11&12
6,42,23&24,13&14,T3&T4
6,43,49&50,25&26,53&54
6,44,T3&T4,21&22,T1&T2
7,1,49&50,T7&T8,53&54
7,2,7&8,11&12,T1&T2
7,3,5&6,T1&T2,21&22
7,4,51&52,27&28,T3&T4
7,5,23&24,53&54,11&12
7,6,45&46,21&22,51&52
7,7,T7&T8,45&46,T3&T4
7,8,11&12,1&2,25&26
7,9,15&16,T3&T4,T7&T8
7,10,21&22,T5&T6,15&16
7,11,47&48,13&14,51&52
7,12,23&24,5&6,7&8
7,13,13&14,49&50,9&10
7,14,7&8,51&52,13&14
7,15,11&12,9&10,55&56
7,16,27&28,47&48,T7&T8
7,17,T5&T6,45&46,21&22
7,18,T3&T4,49&50,55&56
7,19,25&26,55&56,49&50
7,20,1&2,23&24,45&46
7,21,45&46,11&12,15&16
7,22,T5&T6,3&4,49&50
7,23,55&56,T3&T4,3&4
7,24,5&6,15&16,9&10
7,25,T1&T2,3&4,27&28
7,26,47&48,21&22,5&6
7,27,53&54,47&48,T5&T6
7,28,3&4,9&10,1&2
7,29,15&16,27&28,47&48
7,30,27&28,T7&T8,13&14
7,31,9&10,T1&T2,T5&T6
7,32,T7&T8,51&52,45&46
7,33,51&52,23&24,47&48
7,34,3&4,T5&T6,53&54
7,35,1&2,5&6,23&24
7,36,13&14,25&26,3&4
7,37,49&50,53&54,25&26
7,38,53&54,25&26,T1&T2
7,39,9&10,55&56,7&8
7,40,21&22,7&8,23&24
7,41,25&26,15&16,5&6
7,42,55&56,7&8,1&2
7,43,T1&T2,1&2,11&12
7,44,T3&T4,13&14,27&28
