Week,Team#,Match1,Match2,Match3
1, 1    , 3&4 , 9&10 , 5&6  
1, 2    , 23&24 , 3&4 , 9&10  
1, 3    , 13&14 , 7&8 , 23&24  
1, 4    , 27&28 , T3&T4 , 25&26  
1, 5    , 1&2 , 15&16 , 51&52  
1, 6    , 47&48 , 9&10 , 9&10  
1, 7    , 23&24 , 45&46 , 1&2  
1, 8    , 15&16 , 23&24 , 47&48  
1, 9    , 25&26 , 25&26 , 11&12  
1, 10   , 49&50 , T7&T8 , T3&T4  
1, 11   , 27&28 , 3&4 , 45&46  
1, 12   , 51&52 , 13&14 , T1&T2  
1, 13   , 7&8 , T1&T2 , 27&28  
1, 14   , T7&T8 , 25&26 , 47&48  
1, 15   , 3&4 , 7&8 , 21&22  
1, 16   , T3&T4 , 11&12 , 7&8  
1, 17   , 7&8 , 27&28 , 13&14  
1, 18   , 9&10 , 51&52 , T7&T8  
1, 19   , 21&22 , 21&22 , 25&26  
1, 20   , 15&16 , 1&2 , 21&22  
1, 21   , 9&10 , 1&2 , 1&2  
1, 22   , T5&T6 , T7&T8 , T1&T2  
1, 23   , 21&22 , 45&46 , 15&16  
1, 24   , 5&6 , 27&28 , 49&50  
1, 25   , T1&T2 , 15&16 , 13&14  
1, 26   , 13&14 , 47&48 , 15&16  
1, 27   , T5&T6 , 49&50 , 27&28  
1, 28   , T7&T8 , 13&14 , 11&12  
1, 29   , T1&T2 , 51&52 , T5&T6  
1, 30   , 5&6 , 47&48 , T7&T8  
1, 31   , 45&46 , 11&12 , 3&4  
1, 32   , T3&T4 , 49&50 , 23&24  
1, 33   , 11&12 , 23&24 , 3&4  
1, 34   , 45&46 , T5&T6 , 7&8  
1, 35   , 1&2 , T3&T4 , 45&46  
1, 36   , 47&48 , T5&T6 , T5&T6  
1, 37   , 11&12 , T1&T2 , 49&50  
1, 38   , 49&50 , 21&22 , 51&52  
1, 39   , 51&52 , 5&6 , T3&T4  
1, 40   , 25&26 , 5&6 , 5&6  
2, 1    , T7&T8 , 45&46 , T3&T4  
2, 2    , 25&26 , 49&50 , 5&6  
2, 3    , 51&52 , T1&T2 , 11&12  
2, 4    , 7&8 , 15&16 , 11&12  
2, 5    , 21&22 , 9&10 , 21&22  
2, 6    , 11&12 , 9&10 , 25&26  
2, 7    , 3&4 , 15&16 , T1&T2  
2, 8    , 27&28 , T5&T6 , 3&4  
2, 9    , T3&T4 , 5&6 , 7&8  
2, 10   , 1&2 , 5&6 , 9&10  
2, 11   , 23&24 , T7&T8 , 49&50  
2, 12   , T5&T6 , 49&50 , 47&48  
2, 13   , 13&14 , 25&26 , T5&T6  
2, 14   , 25&26 , 11&12 , 27&28  
2, 15   , 27&28 , 1&2 , 9&10  
2, 16   , 3&4 , 23&24 , 21&22  
2, 17   , T7&T8 , 1&2 , T1&T2  
2, 18   , T1&T2 , T3&T4 , 47&48  
2, 19   , T3&T4 , 21&22 , 15&16  
2, 20   , 9&10 , 3&4 , 49&50  
2, 21   , 23&24 , 25&26 , T3&T4  
2, 22   , 5&6 , 11&12 , 51&52  
2, 23   , 21&22 , 47&48 , 3&4  
2, 24   , T1&T2 , 23&24 , 15&16  
2, 25   , 15&16 , T3&T4 , 1&2  
2, 26   , 47&48 , 27&28 , 51&52  
2, 27   , 15&16 , 7&8 , 25&26  
2, 28   , 47&48 , 13&14 , 13&14  
2, 29   , T5&T6 , 13&14 , 7&8  
2, 30   , 13&14 , 51&52 , 5&6  
