1, 1    , T5&T6 , T3&T4 , 15&16  
1, 2    , 15&16 , 3&4 , 27&28  
1, 3    , 9&10 , 5&6 , 1&2  
1, 4    , 25&26 , 49&50 , 5&6  
1, 5    , 51&52 , 47&48 , 3&4  
1, 6    , T1&T2 , 11&12 , 45&46  
1, 7    , T1&T2 , T5&T6 , 13&14  
1, 8    , 49&50 , 11&12 , T7&T8  
1, 9    , T7&T8 , 45&46 , 51&52  
1, 10   , 45&46 , T7&T8 , 47&48  
1, 11   , 15&16 , 21&22 , T7&T8  
1, 12   , 47&48 , 3&4 , 11&12  
1, 13   , 23&24 , 1&2 , 11&12  
1, 14   , 7&8 , 45&46 , 47&48  
1, 15   , 1&2 , 51&52 , T5&T6  
1, 16   , 5&6 , 47&48 , 3&4  
1, 17   , 21&22 , 49&50 , 25&26  
1, 18   , 51&52 , 27&28 , 23&24  
1, 19   , 27&28 , 9&10 , 5&6  
1, 20   , 3&4 , 23&24 , 7&8  
1, 21   , 9&10 , 7&8 , T3&T4  
1, 22   , 11&12 , 23&24 , 49&50  
1, 23   , T3&T4 , T5&T6 , 9&10  
1, 24   , T5&T6 , 51&52 , T1&T2  
1, 25   , 5&6 , 21&22 , 25&26  
1, 26   , 11&12 , 9&10 , 45&46  
1, 27   , 45&46 , 13&14 , 21&22  
1, 28   , 47&48 , T1&T2 , 7&8  
1, 29   , 1&2 , 13&14 , 27&28  
1, 30   , 3&4 , 7&8 , 49&50  
1, 31   , 13&14 , T3&T4 , 21&22  
1, 32   , 21&22 , 5&6 , 51&52  
1, 33   , T3&T4 , 1&2 , T5&T6  
1, 34   , 49&50 , T7&T8 , T1&T2  
1, 35   , 13&14 , 15&16 , 1&2  
1, 36   , T7&T8 , 15&16 , 13&14  
1, 37   , 25&26 , T1&T2 , 15&16  
1, 38   , 7&8 , 27&28 , 9&10  
1, 39   , 27&28 , 25&26 , 23&24  
1, 40   , 23&24 , 25&26 , T3&T4  
2, 1    , 7&8 , 51&52 , 11&12  
2, 2    , 1&2 , T7&T8 , T3&T4  
2, 3    , 47&48 , 11&12 , T3&T4  
