Week,Team#,Match1,Match2,Match3
1, 1    , T5&T6 , 7&8 , T7&T8  
1, 2    , T5&T6 , 25&26 , 51&52  
1, 3    , 9&10 , 51&52 , 23&24  
1, 4    , 45&46 , 11&12 , 47&48  
1, 5    , 51&52 , 3&4 , 11&12  
1, 6    , 49&50 , T3&T4 , 25&26  
1, 7    , 13&14 , 15&16 , 7&8  
1, 8    , 25&26 , 9&10 , T1&T2  
1, 9    , 27&28 , 45&46 , 9&10  
1, 10   , 49&50 , 9&10 , 13&14  
1, 11   , 27&28 , 55&56 , T3&T4  
1, 12   , 53&54 , 51&52 , 27&28  
1, 13   , 55&56 , T7&T8 , 15&16  
1, 14   , 23&24 , 55&56 , 27&28  
1, 15   , 15&16 , 53&54 , T1&T2  
1, 16   , 7&8 , 25&26 , 47&48  
1, 17   , 13&14 , T7&T8 , 21&22  
1, 18   , T7&T8 , 47&48 , 3&4  
1, 19   , 55&56 , 23&24 , 7&8  
1, 20   , 7&8 , 49&50 , 25&26  
1, 21   , 11&12 , 27&28 , 49&50  
1, 22   , 21&22 , T3&T4 , T5&T6  
1, 23   , 3&4 , 7&8 , 23&24  
1, 24   , 15&16 , 13&14 , 5&6  
1, 25   , 51&52 , T1&T2 , 55&56  
1, 26   , T3&T4 , 45&46 , 15&16  
1, 27   , T1&T2 , 53&54 , 45&46  
1, 28   , 11&12 , 15&16 , 53&54  
1, 29   , 47&48 , 49&50 , 5&6  
1, 30   , 5&6 , 27&28 , 53&54  
1, 31   , T3&T4 , 47&48 , T7&T8  
1, 32   , 21&22 , 11&12 , 1&2  
1, 33   , 1&2 , 21&22 , 3&4  
1, 34   , 9&10 , 13&14 , T5&T6  
1, 35   , 53&54 , 5&6 , 51&52  
1, 36   , 3&4 , T5&T6 , 1&2  
1, 37   , T7&T8 , 5&6 , 21&22  
1, 38   , 47&48 , 1&2 , 55&56  
1, 39   , 5&6 , 3&4 , T3&T4  
1, 40   , 45&46 , 21&22 , 11&12  
1, 41   , 1&2 , T1&T2 , 13&14  
1, 42   , T1&T2 , T5&T6 , 9&10  
1, 43   , 23&24 , 1&2 , 45&46  
1, 44   , 25&26 , 23&24 , 49&50  
2, 1    , T7&T8 , 45&46 , 5&6  
2, 2    , 55&56 , 51&52 , 3&4  
2, 3    , 7&8 , 13&14 , 1&2  
2, 4    , T5&T6 , 55&56 , 27&28  
2, 5    , 7&8 , 27&28 , 51&52  
2, 6    , 13&14 , 11&12 , 55&56  
2, 7    , 49&50 , 7&8 , 11&12  
2, 8    , 21&22 , 47&48 , 11&12  
2, 9    , 1&2 , T5&T6 , 21&22  
2, 10   , 5&6 , T7&T8 , T5&T6  
2, 11   , 11&12 , 21&22 , 5&6  
2, 12   , 21&22 , T7&T8 , 15&16  
2, 13   , T1&T2 , 25&26 , 1&2  
2, 14   , 23&24 , 5&6 , T5&T6  
2, 15   , 27&28 , T5&T6 , 15&16  
2, 16   , 25&26 , 53&54 , T7&T8  
2, 17   , 47&48 , 11&12 , 47&48  
2, 18   , 45&46 , T1&T2 , 53&54  
2, 19   , T5&T6 , 15&16 , 3&4  
2, 20   , 13&14 , 5&6 , 49&50  
